id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
2237,Thanks for Sharing,English,6.4,2013,18+,112.0
2238,Kathanam,Malayalam,3.8,2019,13+,110.0
2239,Girlfriend,Marathi,6.5,2019,13+,137.0
2240,Dhamaka,Malayalam,5.5,2020,13+,120.0
2241,Golmaal Fun Unlimited,Hindi,7.4,2006,13+,142.0
2244,Bloodshot,Tamil,5.7,2020,13+,109.0
2245,Jab We Met,Hindi,7.9,2007,All,138.0
2246,Armed Response,English,3.8,2017,18+,89.0
2247,Rush Hour 3,Hindi,6.2,2007,16+,90.0
2249,"Liar, Liar",Hindi,6.9,1997,16+,86.0
2250,She's Funny That Way,English,6.1,2015,18+,93.0
2252,Dharam Veer,Hindi,6.7,1977,All,156.0
2253,Mazhayathu,Malayalam,6.8,2018,All,122.0
2254,Cast Away,English,7.8,2000,18+,143.0
2255,Ninaithadhai Mudippavan,Tamil,7.2,1974,All,159.0
2256,Hey Ram,Tamil,7.9,2000,18+,201.0
2257,Alo Amar Alo,Bengali,6.5,2019,13+,133.0
2259,Aggradani,Bengali,7.9,1983,All,116.0
2262,Beiimaan Love,Hindi,2.8,2016,18+,115.0
2263,Mukham,Malayalam,7.0,1990,NR,117.0
2264,In Harihar Nagar,Malayalam,8.6,1990,NR,127.0
2265,Ghatkali,Bengali,6.6,1979,NR,117.0
2267,Chasing Happiness,English,7.8,2019,16+,96.0
2268,Maalai Nerathu Mayakkam (Malayalam),Malayalam,6.4,2015,18+,121.0
2269,Beyond the Reach,English,5.6,2015,16+,87.0
2270,Viralukketha Veekkam,Tamil,7.1,1999,NR,156.0
2271,Gaurisankaram,Malayalam,4.5,2003,All,101.0
2273,Akaash vani,Hindi,6.3,2013,13+,140.0
2275,Mangamma Gari Manavadu,Telugu,6.4,1984,NR,127.0
2276,Happy Ending,Hindi,5.4,2014,NR,134.0
2277,The Sunday Sessions,English,6.6,2020,13+,89.0
2278,Amar Prem,Hindi,4.0,1972,NR,134.0
2279,Byomkesh Parbo,Bengali,6.7,2016,13+,115.0
2280,Marina Puratchi,Tamil,6.4,2019,All,76.0
2281,Detective Dee: Mystery of the Phantom Flame,English,6.6,2011,13+,116.0
2282,Horrible Bosses 2,English,6.3,2014,18+,108.0
2284,NGK,Tamil,5.9,2019,All,147.0
2285,Furry Vengeance,English,3.8,2010,7+,91.0
2286,Genius,Telugu,8.4,2012,18+,142.0
2287,Ulavuthurai,Tamil,7.0,1998,18+,162.0
2288,Brick Mansions,English,5.7,2014,18+,90.0
2289,Abhay,Telugu,7.8,2001,NR,140.0
2291,Chingaari,Hindi,4.7,2006,13+,155.0
2293,Adda,Bengali,6.6,2019,13+,107.0
2294,A Monsoon Date,Hindi,6.9,2019,NR,21.0
2295,Enthino Pookunna Pookal,Malayalam,6.2,1982,NR,141.0
2296,The End,Telugu,7.4,2003,NR,110.0
2297,Once Upon a Time in America,English,8.4,1984,18+,229.0
2298,Youth,English,7.3,2015,18+,123.0
2299,Newton,Hindi,7.7,2017,13+,104.0
2300,Mon Mayuree,Bengali,4.0,1990,NR,149.0
2302,Paka Dekha,Bengali,6.8,1980,NR,95.0
2303,Rishtey,Hindi,4.6,2002,13+,155.0
2304,Wallet,Bengali,8.4,2018,13+,14.0
2305,Criminal,Tamil,6.3,2016,18+,108.0
2306,The Forbidden Kingdom,Tamil,6.6,2008,13+,100.0
2307,Flight,English,7.3,2012,18+,138.0
2310,Badshahi Angti,Bengali,6.6,2014,All,106.0
2311,Mechanic Ressurection,English,5.7,2016,16+,94.0
2312,The Curse of Abundance,English,6.7,2020,13+,69.0
2313,Dinoshark,English,3.1,2010,16+,86.0
2315,The Ship Sinkers,English,7.7,2020,13+,46.0
2318,Double Happiness,English,7.0,1995,13+,87.0
2319,Ganeshana Maduve,Kannada,7.6,1990,NR,127.0
2320,Priyamaana Thozhi,Tamil,5.5,2003,All,155.0
2321,Auzaar,Hindi,4.4,1997,13+,126.0
2322,Trust WHO,English,6.5,2018,13+,54.0
2323,Katmundu,Bengali,4.6,2018,13+,126.0
2324,Kshamichu Ennoru Vakku,Malayalam,6.2,1986,NR,112.0
2325,Tula Shikwin Changlach Dhada,Marathi,5.9,2007,All,152.0
2326,Rangeelay,Punjabi,4.9,2013,NR,129.0
2327,Vidyasagar,Bengali,8.0,2017,13+,111.0
2334,Bey Yaar,Gujarati,8.5,2014,13+,154.0
2335,Mithai,Hindi,4.3,2019,13+,137.0
2337,Annamayya,Telugu,8.0,1997,NR,145.0
2339,Mafia: Chapter 1,Tamil,6.0,2020,13+,111.0
2341,Break Ke Baad,Hindi,5.2,2010,All,112.0
2342,Minority Report,English,7.6,2002,18+,145.0
2344,Kabali,Tamil,6.2,2016,13+,143.0
2345,Melle,Malayalam,6.2,2017,All,113.0
2346,Uyire,Tamil,7.6,1998,18+,165.0
2347,Bandipotu Simham,Telugu,5.8,1982,NR,125.0
2349,Birds of Prey,Hindi,6.1,2020,18+,108.0
2350,Michael Madhana Kamarajan,Tamil,8.5,1990,All,160.0
2351,Atlas Shrugged: Part I,English,5.6,2011,13+,96.0
2352,Guptodhoner Sandhane,Bengali,6.8,2018,All,130.0
2353,Choricha Mamla,Marathi,6.4,2020,13+,132.0
2354,702 Dixits,Marathi,4.8,2016,13+,115.0
2355,Woh Chokri,Hindi,8.0,1994,NR,123.0
2356,My Life Without Air,English,7.0,2019,13+,71.0
2357,Pailwaan (Malayalam),Malayalam,6.4,2019,13+,163.0
2358,Evil Eye,Hindi,4.7,2020,16+,89.0
2360,Indriyam,Malayalam,5.1,2000,NR,127.0
2361,Boss,Bengali,5.8,2013,13+,137.0
2362,Evanukku Engeyo Matcham Irukku,Tamil,3.3,2018,18+,140.0
2364,Firehouse Dog,English,5.5,2007,13+,111.0
2366,Wonder,English,8.0,2017,7+,113.0
2368,The Babadook,English,6.8,2014,18+,93.0
2370,Kan Simittum Neram,Tamil,5.6,1988,NR,135.0
2371,Ab Hoga Dharna Unlimited,Hindi,4.0,2012,NR,78.0
2373,Friend Request,English,5.3,2017,18+,88.0
2374,San Andreas,Tamil,6.1,2015,13+,114.0
2377,Horrible Bosses (2011),English,6.9,2011,18+,97.0
2378,Vaisakhi List,Punjabi,6.4,2016,All,143.0
2379,Dil Ki Baazi,Hindi,5.3,1993,All,153.0
2381,Gurkha,Tamil,4.9,2019,All,141.0
2382,Maa Nanna Chiranjeevi,Telugu,5.4,2010,NR,112.0
2383,Zakir Khan: Kaksha Gyarvi,Hindi,8.3,2018,18+,74.0
2385,Khubsoorat,Hindi,7.6,1980,All,120.0
2386,Cloudy with a Chance of Meatballs,Hindi,6.9,2009,7+,89.0
2388,Blood Diamond,English,8.0,2006,18+,143.0
2390,Chotoder Chobi,Bengali,7.8,2017,13+,108.0
2391,Aruvadai Naal,Tamil,6.6,1986,NR,138.0
2392,Requiem For A Dream,English,8.3,2000,18+,101.0
2394,Annan Thambi,Malayalam,5.7,2008,NR,135.0
2395,Lingaa,Hindi,5.6,2014,NR,148.0
2396,Lajja,Hindi,6.7,2001,NR,202.0
2397,Uttarayan,Bengali,7.2,2019,13+,135.0
2398,Farewell Amor,English,6.9,2020,NR,117.0
2400,Bamma Maata Bangaru Baata,Telugu,7.2,1989,All,153.0
2401,Darbar (Tamil),Tamil,6.1,2020,13+,158.0
2402,Nenjirukkum Varai,Tamil,7.7,2006,All,149.0
2403,Anandache Jhaad,Marathi,4.0,2006,All,150.0
2404,The Florida Project,English,7.6,2017,18+,111.0
2405,Copycat,English,6.6,1995,18+,123.0
2406,Geostorm,English,5.3,2017,13+,109.0
2407,Bharaate,Kannada,4.9,2019,13+,164.0
2408,Universal Soldier: Day of Reckoning,English,5.0,2012,18+,105.0
2410,The Condemned 2,English,4.2,2015,18+,90.0
2411,Sound of Silence,Hindi,7.2,2017,All,87.0
2412,American Pie Presents: The Naked Mile (Unrated),English,5.2,2006,18+,101.0
2413,Nokkethadhoorathu Kannum Nattu,Malayalam,7.7,1984,NR,125.0
2414,Kokkarakko,Malayalam,4.9,1995,NR,149.0
2415,Besh Korechi Prem Korechi,Bengali,4.8,2015,All,143.0
2416,Looper,Marathi,7.4,2012,18+,114.0
2417,Adhe Kangal,Tamil,7.3,2017,All,119.0
2418,Nadigaiyar Thilagam (Tamil),Tamil,8.5,2018,All,167.0
2419,Jodi Love Dile Na Prane,Bengali,7.3,2017,13+,115.0
2420,Annaya Attayachar,Bengali,5.2,2004,All,159.0
2422,Apocalypto,English,7.8,2006,18+,132.0
2423,Aav Taru Kari Nakhu,Gujarati,6.4,2017,NR,126.0
2424,Middle Class Madhavan,Tamil,6.6,2000,13+,154.0
2425,Ajinkya,Marathi,3.7,2013,All,105.0
2426,Albela,Hindi,3.7,2001,All,139.0
2428,Kargil,Tamil,7.3,2018,All,93.0
2429,Abhijan,Bengali,8.0,2017,13+,128.0
2430,Nimantran,Bengali,8.2,2018,13+,122.0
2431,Superman: Red Son,English,6.4,2020,13+,84.0
2432,Dharmathin Thalaivan,Tamil,7.0,1988,NR,135.0
2433,Dinoshark,Marathi,3.1,2010,16+,86.0
2435,Darmiyaan: In Between,Hindi,7.3,1997,18+,128.0
2439,My Super Ex-Girlfriend,English,5.1,2006,16+,96.0
2440,Zindagi Aur Maut,Hindi,6.0,2002,NR,119.0
2441,Bachelor Party,Malayalam,5.1,2012,13+,119.0
2442,Kambakkht Ishq,Hindi,3.9,2009,NR,134.0
2443,Black and Blue,Telugu,6.4,2019,18+,107.0
2444,Maqbool,Hindi,8.1,2004,All,120.0
2445,Muniyana Madari,Kannada,7.5,1981,NR,141.0
2446,Dilli Dreams,Hindi,6.0,2012,All,
2447,It Follows,English,6.8,2015,18+,99.0
2448,Stalin,Telugu,7.1,2006,13+,168.0
2449,Lapandav,Marathi,8.3,1993,All,145.0
2450,Richie Rich (1994),English,5.4,1994,All,94.0
2451,Jeevan Mrityu,Hindi,7.0,1970,NR,158.0
2452,Buro Sadhu,Bengali,7.1,2019,13+,92.0
2453,Manchukurisevelalo,Telugu,7.1,2018,All,128.0
2454,Bad Ass,English,5.5,2012,13+,90.0
2455,Missing,Hindi,5.8,2018,13+,120.0
2457,The Vast of Night,English,6.7,2020,13+,90.0
2459,Kantheredu Nodu,Kannada,8.1,1961,NR,135.0
2460,The Legend of Tarzan,Tamil,6.2,2016,13+,109.0
2461,Men in Black,English,7.3,1997,13+,97.0
2462,The Raid: Redemption,Tamil,7.6,2012,18+,97.0
2463,Lights Out,Telugu,6.3,2016,18+,80.0
2464,Little Women,English,7.8,2019,All,134.0
2465,Broken City,English,6.2,2013,18+,109.0
2466,I Kill Giants,English,6.2,2018,16+,102.0
2467,Saw 4,English,5.9,2007,18+,92.0
2469,Birth of the Dragon,Telugu,5.5,2017,13+,91.0
2470,Jalam,Malayalam,6.5,2016,All,104.0
2471,American Psycho 2,English,3.8,2002,18+,88.0
2472,Senjittale En Kadhala,Tamil,7.4,2017,All,100.0
2473,Sagara Sangamam,Telugu,8.8,1983,All,169.0
2475,Mr. & Mrs. Smith,English,6.5,2005,16+,119.0
2476,Fanney Khan,Hindi,4.5,2018,13+,129.0
2478,ASUR,Bengali,6.9,2020,All,136.0
2479,Junior Senior,Tamil,4.1,2002,All,137.0
2480,The Smurfs 2,Telugu,5.3,2013,7+,104.0
2481,Ankahee,Hindi,4.1,2006,All,151.0
2483,Saaransh,Hindi,8.2,1984,13+,137.0
2484,Rowdy Fellow,Telugu,6.6,2014,13+,137.0
2485,Sthaniya Sambaad,Bengali,7.8,2020,13+,105.0
2486,Parasakthi,Tamil,7.4,1952,All,170.0
2487,Duniya,Hindi,7.1,1984,All,169.0
2488,What If,English,6.8,2014,16+,97.0
2493,April 1 Vidudala,Telugu,7.7,1991,NR,144.0
2495,Universal Soldier: Regeneration,Telugu,5.2,2010,18+,96.0
2496,Police Police,Tamil,5.5,2010,NR,119.0
2497,Do Knot Disturb,Hindi,3.6,2009,13+,125.0
2498,Apne,Hindi,6.0,2007,All,166.0
2499,The Last Airbender,Telugu,4.0,2010,All,103.0
2501,Villain,Bengali,4.9,2018,All,132.0
2503,Chandralekha,Malayalam,7.5,1997,NR,172.0
2504,Shutter Island,English,8.2,2010,18+,138.0
2505,Following Seas,English,8.3,2019,13+,56.0
2506,Rajwade and Sons,Marathi,7.0,2015,13+,124.0
2507,Nirjan Saikate,Bengali,7.3,2018,13+,119.0
2508,Bloodshot,Telugu,5.7,2020,13+,109.0
2509,Pyaar Impossible,Hindi,4.6,2010,All,140.0
2513,Khanna & Iyer,Hindi,5.2,2007,13+,102.0
2514,A Year in Burgundy,English,7.0,2013,13+,88.0
2516,All Is Lost,English,6.9,2013,16+,101.0
2518,Shareek,Punjabi,7.3,2015,NR,133.0
2519,Desi Boyz,Hindi,5.7,2011,NR,121.0
2521,Banjo,Hindi,4.9,2016,NR,135.0
2523,Hijack,Hindi,3.7,2008,NR,117.0
2524,Rathi Nirvedam,Telugu,5.0,1998,13+,114.0
2525,Kismat,Hindi,3.6,1995,13+,149.0
2526,American Ultra,English,6.1,2015,18+,95.0
2530,Ettupatti Rasa,Tamil,6.0,1997,All,143.0
2532,Yoddha,Malayalam,8.4,1992,All,142.0
2534,Law Abiding Citizen,Telugu,7.4,2009,18+,104.0
2535,Saare Jahaan Se Mehnga,Hindi,7.1,2013,All,106.0
2536,Srivalli,Telugu,4.6,2017,13+,107.0
2537,The Adventures of Tintin,English,7.3,2011,7+,106.0
2538,Let Her Cry,English,6.2,2015,NR,94.0
2539,Dharma,Tamil,7.0,1998,18+,150.0
2540,Trisulam,Telugu,6.3,1982,NR,139.0
2541,Alaigal Oyvathilai,Tamil,6.7,1981,All,139.0
2543,Underworld Awakening,English,6.4,2012,18+,88.0
2545,Aparichithan,Malayalam,5.1,2004,13+,123.0
2546,DNA,Marathi,8.3,2019,All,126.0
2547,Texas Chainsaw Massacre,English,4.8,2013,18+,88.0
2548,Train To Busan,English,7.6,2016,18+,113.0
2549,Anaganaga Oka Roju,Telugu,7.1,1997,All,124.0
2550,Alien Convergence,English,2.3,2017,13+,87.0
2551,Raghavan,Telugu,4.9,2006,13+,167.0
2553,Looper,Hindi,7.4,2012,18+,114.0
2557,Drive,English,7.8,2011,18+,99.0
2558,16-Dec,Hindi,6.9,2002,13+,148.0
2559,Ek Cup Chya,Marathi,7.3,2009,All,119.0
2560,Olympus Has Fallen,Telugu,6.5,2013,18+,114.0
2561,Zakh Marli Baiko Keli,Marathi,4.5,2008,All,149.0
2562,Oraalppokkam,English,7.2,2014,NR,112.0
2563,Raasta,Bengali,6.3,2003,All,166.0
2565,The Raid 2,Tamil,8.0,2014,18+,144.0
2566,Kobbari Bondam,Telugu,6.5,1991,All,141.0
2568,Uyarum Njan Nadake,Malayalam,7.3,1985,NR,129.0
2569,Kal Ho Naa Ho,Hindi,8.0,2003,All,187.0
2570,Kuch Kuch Locha Hai,Hindi,2.5,2015,NR,144.0
2571,Gippi,Hindi,5.6,2013,13+,93.0
2572,Mangal Deep,Bengali,8.1,1989,NR,146.0
2574,Vivah,Hindi,6.6,2006,All,166.0
2575,Daivathinte Makan,Malayalam,4.1,2000,NR,141.0
2576,Mounam : Love is not a Game!,Kannada,7.2,2020,13+,145.0
2577,The Meg,Tamil,5.6,2018,13+,113.0
2579,The End,Hindi,7.4,2015,All,10.0
2580,American Pie Presents: The Book of Love,English,4.8,2009,18+,97.0
2581,Indra,Kannada,7.4,2008,13+,147.0
2582,Dilwale Dulhania Le Jayenge,Hindi,8.1,1995,All,189.0
2583,Diljale,Hindi,5.8,1996,18+,158.0
2586,Khel Mandala,Marathi,8.1,2011,All,128.0
2587,Layla Fourie,English,5.5,2013,NR,106.0
2589,Tapasya,Hindi,7.1,1976,All,133.0
2590,Final Destination 3,English,5.8,2006,18+,92.0
2591,Vettam,Malayalam,6.7,2004,All,163.0
2592,The Chronicles of Riddick,English,6.7,2004,16+,119.0
2593,Holly Slept Over,Telugu,5.5,2020,16+,87.0
2594,Intruders,English,5.7,2016,18+,90.0
2596,100 days,Hindi,6.5,2007,All,138.0
2597,Humko Tumse Pyaar Hai,Hindi,4.8,2006,All,126.0
2598,1921,Hindi,4.4,2018,18+,141.0
2599,A Christmas Carol,English,6.0,1997,7+,69.0
2600,Disco Dancer,Hindi,6.5,1982,All,134.0
2601,Land of the Lost,English,5.3,2009,13+,101.0
2602,Chaar Sahibzaade  - Rise of Banda Singh Bahadur,Hindi,8.6,2016,NR,128.0
2603,Potugadu,Telugu,5.7,2013,18+,114.0
2604,Mister John,English,5.5,2013,18+,95.0
2605,Tortilla Soup,English,6.7,2002,13+,103.0
2606,When the Smoke Clears,English,5.3,2020,18+,18.0
2607,Amal,Hindi,7.5,2008,All,103.0
2608,White,Malayalam,6.0,2017,NR,147.0
2609,Babu Baga Busy,Telugu,5.2,2017,18+,121.0
2611,NAVARATHNA,Kannada,4.5,2020,13+,136.0
2612,IT Chapter Two,Tamil,6.5,2019,18+,169.0
2613,Jack the Giant Slayer,English,6.2,2013,13+,114.0
2614,Rajnigandha,Hindi,7.3,1975,All,103.0
2616,The Angry Birds Movie,English,6.3,2016,7+,97.0
2618,Takatak,Marathi,6.0,2019,18+,143.0
2620,Go Goa Gone,Hindi,6.6,2013,NR,102.0
2621,The Idiot,Hindi,7.3,2017,All,
2622,Bye Bye Bangkok,Bengali,6.3,2017,13+,142.0
2623,Raja Nanna Raja,Kannada,8.4,1976,NR,133.0
2624,Samaantar,Marathi,7.6,2009,All,98.0
2625,Mayer Adar,Bengali,6.0,2010,NR,105.0
2626,Ormakalundayirikkanam,Malayalam,7.0,1995,NR,86.0
2627,Game: He Plays to Win,Bengali,6.4,2014,13+,160.0
2628,The Kitchen,English,5.5,2019,18+,102.0
2629,Zindagi 50-50,Hindi,2.7,2013,NR,127.0
2630,Leeches,Hindi,7.2,2016,18+,27.0
2632,Ennamma Kannu,Tamil,3.5,2000,13+,145.0
2633,Drive Angry,English,5.4,2011,18+,100.0
2634,Valerian and the City of a Thousand Planets,Telugu,6.5,2017,16+,136.0
2635,Gujarati Wedding In Goa,Gujarati,4.6,2018,13+,130.0
2636,Ghuma,Marathi,6.2,2017,All,94.0
2637,Addams Family Values,English,6.8,1993,7+,94.0
2638,Rampage,Hindi,6.1,2018,13+,107.0
2639,The Lost World: Jurassic Park,Hindi,6.6,1997,16+,128.0
2641,Mitron,Hindi,6.9,2018,13+,116.0
2643,Texas Chainsaw Massacre,Telugu,4.8,2013,18+,88.0
2644,John Rambo,Telugu,7.0,2008,18+,86.0
2645,Tara,Bengali,2.9,2017,13+,131.0
2646,Garv: Pride & Honour,Hindi,5.5,2004,18+,175.0
2647,Room No. 103,Bengali,5.6,2018,13+,115.0
2648,Open Water 2: Adrift,English,5.2,2006,18+,94.0
2649,Torchlight,Tamil,4.9,2018,18+,117.0
2650,Chak De India,Hindi,8.2,2007,All,148.0
2651,October,Hindi,7.5,2018,All,115.0
2654,Payyans,Malayalam,3.9,2011,All,131.0
2655,Last Shop Standing,English,7.1,2019,13+,49.0
2657,Paddayi,English,7.2,2018,NR,99.0
2658,John Rambo,Hindi,7.0,2008,18+,86.0
2659,Shola Aur Shabnam,Hindi,6.5,1992,All,165.0
2660,Bhairava Dweepam,Telugu,7.8,1994,All,155.0
2662,Shame To Shame,Marathi,5.7,1991,All,144.0
2664,Bayalu Daari,Kannada,7.7,1976,NR,139.0
2667,Unni Ikki,Punjabi,7.0,2019,13+,122.0
2668,Proloy,Bengali,7.2,2017,13+,123.0
2669,Ramchandra Purshottam Joshi,Marathi,7.6,2013,All,107.0
2671,Disco Singh,Punjabi,5.8,2014,All,141.0
2673,Abodh,Hindi,5.8,1984,All,132.0
2674,72 Hours: Martyr Who Never Died,Hindi,5.1,2019,13+,130.0
2675,Caesarea,English,8.6,2020,13+,26.0
2676,Arangetram,Tamil,7.8,1973,NR,152.0
2677,Kissi Se Na Kehna,Hindi,7.4,1983,All,134.0
2678,Daari Tappida Maga,Kannada,7.9,1975,NR,137.0
2679,V (Tamil),Tamil,6.6,2020,16+,140.0
2680,After Earth,Telugu,4.8,2013,13+,99.0
2681,Mumbai Pune Mumbai 2,Marathi,6.8,2015,All,149.0
2683,Action Replayy,Hindi,4.2,2010,All,125.0
2685,Mastana,Hindi,6.9,1970,NR,151.0
2686,Jaane Bhi Do Yaaro,Hindi,8.4,1983,All,131.0
2687,Ego,Telugu,5.1,2018,13+,143.0
2688,Singham,Hindi,6.8,2011,13+,135.0
2689,Saw 7: The Final Chapter,English,5.6,2010,13+,90.0
2691,Abhinetri,Bengali,6.0,2019,13+,154.0
2692,Rupkatha Noy,Bengali,6.9,2018,13+,110.0
2693,Thalayana Manthram,Malayalam,7.7,1990,All,134.0
2694,Nalanum Nandhiniyum,Tamil,4.9,2014,All,131.0
2695,Mrs. Scooter,Hindi,6.6,2015,13+,95.0
2696,Planet Hulk,English,6.8,2010,13+,81.0
2697,Batwara,Hindi,6.3,1989,All,174.0
2699,Spy Kids 4: All the Time in the World,English,3.5,2011,7+,88.0
2700,Bhoomiyile Rajakkanmar,Malayalam,6.9,1987,NR,126.0
2701,Annanagar Mudhal Theru,Tamil,5.8,1988,NR,134.0
2703,Second Marriage Dot Com,Hindi,7.5,2012,NR,130.0
2704,Pagalpanti,Hindi,3.1,2019,13+,148.0
2708,Khaidhi No 786,Telugu,6.6,1988,NR,120.0
2709,Underworld Awakening,Telugu,6.4,2012,18+,88.0
2710,Five Star,Tamil,5.9,2002,All,134.0
2712,Mindo Taseeldarni,Punjabi,6.2,2019,13+,121.0
2713,What's Up Lagna,Marathi,6.2,2018,13+,148.0
2714,Kalyana Kacheri,Tamil,4.8,1987,NR,131.0
2715,Dakini,Malayalam,5.2,2018,All,119.0
2716,3 Deewarein,Hindi,7.8,2003,All,105.0
2717,Cold Skin,English,6.0,2018,16+,102.0
2718,Janam Kundli,Hindi,4.3,1995,NR,157.0
2720,Widows,English,6.9,2018,18+,129.0
2721,Streer Maryada,Bengali,5.8,2002,All,153.0
2722,Veerappan,Hindi,5.3,2016,18+,117.0
2724,Texas Chainsaw Massacre,Marathi,4.8,2013,18+,88.0
2725,Agar Tum Na Hote,Hindi,6.5,1983,All,154.0
2726,Sanam Teri Kasam,Hindi,4.9,2009,13+,124.0
2727,Kabhi Kabhie,Hindi,7.4,1976,13+,172.0
2728,Kabita,Bengali,6.1,1977,NR,146.0
2729,Universal Soldier: Regeneration,Hindi,5.2,2010,18+,96.0
2730,Dirty 30,English,5.5,2016,13+,87.0
2732,Sri Ramanjaneya Yuddham,Telugu,8.1,1974,NR,162.0
2733,Band Baaja Baaraat,Hindi,7.2,2010,7+,139.0
2734,Kasethan Kadavulada,Tamil,7.1,1972,All,142.0
2735,Ratha Thilagam,Tamil,7.0,1963,NR,137.0
2736,Kunukkitta Kozhi,Malayalam,6.1,1992,NR,130.0
2738,Jumbulingam,Malayalam,5.5,1982,NR,140.0
2739,Pravarakyudu,Telugu,5.6,2009,13+,154.0
2740,Anvatt,Marathi,6.1,2014,13+,110.0
2741,The Car,Malayalam,5.7,1997,All,133.0
2742,The Report,English,7.2,2019,16+,119.0
2743,Kaatru Veliyidai,Tamil,5.9,2017,All,138.0
2746,Baaz,Punjabi,7.2,2014,13+,141.0
2748,Asla Navra Nako Ga Bai,Marathi,7.5,1976,All,135.0
2749,MO,Tamil,6.5,2016,NR,128.0
2751,Rajakumaaran,Tamil,5.2,1994,NR,144.0
2752,Olavu Geluvu,Kannada,8.4,1977,NR,140.0
2753,The Line King: The Al Hirschfeld Story,English,7.0,1996,NR,86.0
2755,Raja The Great,Telugu,6.5,2017,16+,150.0
2756,Gulmohar,Marathi,5.8,2009,All,109.0
2758,Dhwaja,Kannada,6.5,2018,13+,149.0
2759,Troyee,Bengali,6.4,2017,13+,105.0
2760,Impact Earth,English,3.8,2015,13+,94.0
2762,Shankar Mudi,Bengali,7.4,2019,13+,110.0
2763,Joker (Tamil),Tamil,8.4,2016,All,129.0
2764,Bank Chor,Hindi,5.9,2017,13+,120.0
2765,Beauty and the Beast,Tamil,6.4,2016,7+,113.0
2768,Bhalobasar Anek Naam,Bengali,6.6,2017,13+,135.0
2769,Dhamaal,Hindi,7.3,2007,All,130.0
2770,Kuheli,Bengali,7.4,2017,13+,128.0
2771,Sallu Ki Shaadi,Hindi,3.5,2017,NR,108.0
2772,Oka Chinna Maata,Telugu,6.5,1997,All,143.0
2773,Baboo Band Baaja,Marathi,8.0,2012,All,
2777,The Conjuring 2,Tamil,7.3,2016,18+,133.0
2780,Gladiator,Hindi,8.5,2000,18+,154.0
2781,Periya Marudhu,Tamil,4.3,1994,13+,144.0
2784,All the Best: Fun Begins,Hindi,6.1,2009,13+,135.0
2788,Bandhan,Hindi,6.9,1998,13+,153.0
2790,Mismatch,Telugu,4.2,2019,All,135.0
2791,A Beautiful Day in the Neighborhood,English,7.3,2019,All,108.0
2792,Silence (Malayalam),Malayalam,3.8,2020,16+,125.0
2793,Monster's Ball,English,7.0,2001,18+,111.0
2794,Don't Panic: The Truth About Population,English,7.5,2013,18+,59.0
2795,Baban,Marathi,7.7,2018,NR,141.0
2796,Mujhe Kucch Kehna Hai,Hindi,5.0,2001,NR,135.0
2798,Mr KK,Telugu,5.7,2019,13+,119.0
2799,Mahaan,Hindi,6.1,1983,All,181.0
2800,Uravai Kaatha Kili,Tamil,5.6,1984,NR,154.0
2803,Harry Potter and the Goblet of Fire,Hindi,7.7,2005,13+,157.0
2804,Aan - Men At Work,Hindi,5.7,2004,13+,156.0
2806,Thai Jashe!,Gujarati,7.4,2016,All,142.0
2807,Seethamma Vakitlo Sirimalle Chettu,Telugu,7.5,2013,All,158.0
2808,Rakhi,Telugu,6.3,2006,13+,165.0
2809,Fidaa,Bengali,7.5,2018,13+,146.0
2810,The Adventures of Tintin,Marathi,7.3,2011,7+,106.0
2811,Gone Kesh,Hindi,7.0,2019,All,103.0
2812,The Landlord,Marathi,5.4,2017,16+,86.0
2814,Mirror Game,Hindi,6.1,2017,13+,107.0
2815,Frailty,English,7.2,2002,18+,99.0
2816,Sukrutham,Malayalam,7.4,1994,NR,140.0
2818,Superman Returns,Hindi,6.0,2006,All,154.0
2823,Bandini,Bengali,5.8,2017,13+,131.0
2824,Parinamam,English,6.8,2003,NR,124.0
2825,Winter,Malayalam,7.4,2009,NR,110.0
2826,The Tiger,Malayalam,7.3,2005,NR,156.0
2828,Snehamera Jeevitham,Telugu,8.3,2017,18+,122.0
2829,Abduction Point,English,5.6,2016,18+,82.0
2830,Love Express,Bengali,5.2,2016,All,141.0
2832,Trivikraman,Telugu,5.6,2016,18+,106.0
2833,Janleva 555,Hindi,4.2,2012,NR,136.0
2835,Lara Croft: Tomb Raider,Hindi,5.8,2001,18+,100.0
2837,One Way Ticket,Marathi,4.8,2016,13+,92.0
2838,Manaroopa,Kannada,6.1,2019,13+,132.0
2839,Rudraksh,Hindi,2.6,2004,13+,143.0
2840,Mummy Island Bethal Dweep,Hindi,4.0,2019,13+,82.0
2841,Unakkul Naan,Tamil,6.2,2016,All,74.0
2842,Bezubaan Ishq,Hindi,3.9,2015,NR,127.0
2843,Shor Se Shuruaat,Hindi,6.7,2016,13+,122.0
2844,Bumper Draw,Hindi,4.9,2015,13+,127.0
2845,Hostel Days,Marathi,6.6,2018,13+,146.0
2846,Bridesmaids,English,6.8,2011,18+,124.0
2848,Time Please,Marathi,7.1,2013,13+,130.0
2850,Family 420 Once Again,Punjabi,5.4,2019,13+,122.0
2851,Memphis,English,5.3,2013,NR,78.0
2853,Mr. Kabaadi,Hindi,4.9,2017,13+,93.0
2856,Extra Ordinary,English,6.4,2020,18+,94.0
2857,Maan Gaye Mughall-E-Azam,Hindi,3.1,2008,13+,137.0
